feature,importance
budget_per_participant_log,6497
estimate_to_budget,6382
budget_log,6361
competition_intensity,6079
announce_to_open_days,5605
budget_cat_mean_rate,5496
cat_std,4275
title_length,3608
submission_days,3113
category_mean_rate,2971
cat_count,2727
cat_median,2418
tfidf_c149,2179
category_grouped_encoded,1903
month,1869
tfidf_c146,1862
participants_log,1848
tfidf_c0,1661
month_mean_rate,1565
dayofweek,1549
tfidf_w50,1493
tfidf_c22,1401
title_word_count,1349
tfidf_c53,1197
tfidf_c150,1190
tfidf_c54,1111
part_exact_mean,1102
tfidf_c1,1035
industry_code_count,1029
tfidf_c101,984
budget_tier_mean_rate,945
tfidf_c125,929
tfidf_c24,883
tfidf_c64,844
tfidf_c56,820
base_to_budget_ratio,804
tfidf_c23,691
tfidf_w3,668
tfidf_c12,651
tfidf_c59,648
tfidf_c18,629
tfidf_c126,622
has_region_limit,610
tfidf_c194,594
tfidf_c57,578
tfidf_c6,570
has_lower_limit,556
tfidf_c104,552
tfidf_c81,545
tfidf_c139,537
tfidf_c66,534
tfidf_c124,525
tfidf_c145,513
tfidf_c29,511
tfidf_c88,508
tfidf_c154,488
tfidf_c199,484
tfidf_c47,481
tfidf_c196,473
tfidf_c26,471
tfidf_c105,457
tfidf_c39,445
tfidf_c15,444
tfidf_c92,437
tfidf_c42,436
tfidf_c16,433
tfidf_c155,419
tfidf_c112,413
tfidf_c2,392
tfidf_c21,390
tfidf_w5,390
tfidf_c9,389
tfidf_c65,386
tfidf_c90,385
tfidf_c174,383
tfidf_c41,379
tfidf_c91,376
tfidf_c152,371
tfidf_c10,365
tfidf_c102,364
tfidf_c162,353
has_industry_limit,350
tfidf_c87,350
tfidf_w73,343
tfidf_w56,342
tfidf_c83,341
tfidf_c31,339
tfidf_c14,335
tfidf_c175,334
tfidf_c109,328
tfidf_c106,327
tfidf_c136,322
tfidf_c30,321
tfidf_c17,318
tfidf_c94,310
tfidf_w36,309
tfidf_w97,304
tfidf_c11,304
tfidf_w98,297
tfidf_w35,296
tfidf_c55,291
tfidf_c60,285
tfidf_c140,282
is_sw_industry,279
tfidf_w33,275
tfidf_c40,271
tfidf_w57,268
tfidf_c99,266
tfidf_w6,263
tfidf_c165,261
tfidf_c27,258
tfidf_c156,256
tfidf_c148,255
tfidf_c195,254
tfidf_c172,249
tfidf_c36,249
tfidf_c164,248
tfidf_c134,246
tfidf_c82,246
tfidf_c63,245
tfidf_c13,243
tfidf_c163,241
tfidf_c62,241
tfidf_w34,238
tfidf_c147,232
tfidf_c37,229
tfidf_c35,227
tfidf_c137,227
part_exact_count,225
tfidf_c20,223
tfidf_c168,219
tfidf_c186,219
tfidf_c110,218
kw_research,217
tfidf_w25,216
tfidf_c103,213
tfidf_w1,213
quarter,210
participants_tier_mean_rate,209
tfidf_c161,208
tfidf_w69,206
tfidf_c32,206
tfidf_c173,204
tfidf_w43,204
tfidf_w90,204
tfidf_c28,202
tfidf_w19,200
tfidf_c58,199
tfidf_c176,196
tfidf_c135,196
tfidf_w2,195
tfidf_c116,195
tfidf_w22,195
tfidf_c93,193
tfidf_c52,193
tfidf_c121,193
tfidf_c34,185
tfidf_c191,184
tfidf_c138,182
tfidf_c180,181
tfidf_c85,180
tfidf_c95,179
tfidf_c131,175
tfidf_c84,171
tfidf_w45,170
tfidf_w60,168
tfidf_w68,165
kw_si,161
tfidf_c153,160
tfidf_w40,155
tfidf_c38,154
tfidf_w67,154
tfidf_w58,152
tfidf_w44,152
tfidf_w77,151
tfidf_c71,151
tfidf_c86,150
tfidf_c25,149
tfidf_c89,149
tfidf_c108,149
tfidf_w21,147
tfidf_w8,146
tfidf_w79,143
tfidf_w72,142
tfidf_c107,141
tfidf_w49,141
tfidf_c197,140
tfidf_c67,134
tfidf_c70,134
tfidf_w18,133
tfidf_w64,128
tfidf_c19,121
tfidf_w7,121
tfidf_c49,121
tfidf_w24,121
tfidf_c45,119
tfidf_c183,119
tfidf_c141,118
tfidf_c43,116
tfidf_w27,115
tfidf_c96,115
tfidf_w26,115
tfidf_w71,114
tfidf_w92,113
tfidf_c8,112
tfidf_c144,111
kw_data,111
tfidf_c133,111
tfidf_c122,110
tfidf_w30,109
tfidf_w20,106
tfidf_w81,105
has_base_price,102
tfidf_w29,101
